x-axis,y-axis,z-axis
-4.99,7.67,1.0351465
-4.99,7.67,1.0351465
-0.84,2.15,-2.6832085
4.33,3.3,4.9850473
8.54,2.64,-2.8330324
2.11,3.68,10.119919
-4.29,18.16,-3.6774938
-0.95,15.13,6.742072
-0.15,11.18,-0.08172209
-0.8,19.53,-1.4982382
-8.81,16.66,-0.95342433
-4.79,10.38,-0.53119355
-3.57,8.77,-1.1849703
-4.29,4.71,-1.3075534
-1.65,2.18,-2.2609777
2.18,1.14,1.4573772
10.46,5.13,2.3699405
2.45,-1.27,2.2201166
-1.23,15.28,1.9885708
-4.25,18.54,3.2961242
-2.64,8.81,-1.1168685
6.66,13.48,-3.2961242
6.66,13.48,-3.2961242
6.66,13.48,-3.2961242
0.0,0.0,0.0
-4.56,6.21,-1.9885708
-3.64,3.21,-2.1111538
-2.98,6.17,-1.2666923
-2.98,6.17,-1.2666923
7.59,6.51,1.1849703
4.63,-0.99,-3.759216
-4.06,2.03,9.575105
3.95,19.19,-5.7886477
0.11,19.11,4.7126403
-2.14,10.31,0.38136974
0.42,13.38,1.4573772
-5.6,19.57,-2.7240696
-7.89,14.86,-0.27240697
-4.18,9.77,-0.42223078
-4.48,6.59,-1.7570249
-3.72,3.99,-2.1383946
-0.72,4.48,-2.4108016
0.99,2.79,4.671779
10.42,7.12,-0.19068487
3.3,-2.83,4.5219555
-1.73,10.8,-1.4982382
0.65,19.57,-3.445948
-0.76,15.17,10.841797
-0.11,16.89,-2.1111538
-9.15,19.5,-3.5957718
-9.15,19.5,-3.5957718
-5.18,11.73,0.10896278
-3.6,9.53,-1.2258313
-5.01,5.33,-1.4165162
-1.38,3.41,-1.525479
1.54,1.14,1.7978859
8.31,6.17,0.6946377
2.98,-0.89,1.2258313
-5.37,7.25,4.7535014
1.38,17.05,-2.5333846
0.89,19.23,6.469665
0.89,19.23,6.469665
0.89,19.23,6.469665
3.95,17.67,-0.19068487
0.0,0.0,0.0
0.0,0.0,0.0
-4.1,0.69,-3.1463003
-5.13,5.13,3.336985
2.53,17.86,4.372132
0.5,6.89,-4.5628166
0.38,6.02,-5.8976107
-4.99,18.7,10.228881
-1.14,7.31,-5.8567495
-0.38,3.57,-7.8589406
-1.08,14.25,-9.847511
-5.56,9.08,9.997335
-0.46,8.85,-7.6546354
-2.37,9.53,-0.29964766
-0.8,10.31,-0.040861044
0.84,10.84,1.7297841
0.99,13.76,1.607201
2.79,16.55,0.8036005
-1.31,12.11,-7.273266
-0.23,8.39,-5.597963
-0.19,12.83,-3.255263
-0.76,9.77,-6.1700177
-4.9,7.44,-4.862464
-4.86,7.67,-2.6832085
-6.47,5.98,-1.6480621
-4.75,9.53,4.440233
6.02,15.36,3.405087
4.82,9.58,-1.334794
-4.1,7.86,-4.1814466
-7.31,15.83,4.2904096
-4.37,5.75,-4.0180025
-5.6,11.18,-5.5162406
0.76,9.72,-2.1792557
-0.65,9.66,4.862464
2.83,10.23,5.829509
1.18,4.82,1.3756552
-2.18,3.15,-3.9090397
-1.69,9.51,-2.0294318
0.84,9.92,1.1849703
0.53,9.51,2.982856
-0.42,18.85,2.2609777
-7.21,17.69,-0.50395286
-3.21,8.73,0.50395286
-4.63,7.82,-1.334794
-5.28,5.22,-1.334794
-2.11,3.26,-2.0294318
3.26,1.23,4.440233
12.26,7.27,-1.3075534
2.91,-0.04,4.671779
2.91,-0.04,4.671779
-4.82,19.57,-7.3958488
-4.82,19.57,-7.3958488
-4.82,19.57,-7.3958488
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.5,2.87,-2.5606253
-0.5,2.87,-2.5606253
11.3,5.48,1.1168685
11.3,5.48,1.1168685
11.3,5.48,1.1168685
2.37,-1.27,3.718355
0.0,0.0,0.0
-3.3,12.76,6.973618
-3.3,12.76,6.973618
3.99,17.12,-0.95342433
3.99,17.12,-0.95342433
3.99,17.12,-0.95342433
-4.14,4.99,-2.1111538
-2.64,4.56,-0.88532263
-2.64,4.56,-0.88532263
12.41,7.86,2.6423476
12.41,7.86,2.6423476
12.41,7.86,2.6423476
0.84,19.53,1.8387469
0.84,19.53,1.8387469
6.66,15.51,-0.53119355
6.66,15.51,-0.53119355
-11.99,14.44,-0.3405087
-11.99,14.44,-0.3405087
-4.06,4.33,-3.3642259
-4.33,3.72,-2.3426998
1.46,0.89,1.9477097
12.72,8.96,1.1849703
6.02,2.03,1.1168685
6.02,2.03,1.1168685
1.65,19.57,-8.730643
1.65,19.57,-8.730643
4.4,12.95,-4.372132
4.4,12.95,-4.372132
-8.54,14.52,-2.0294318
-8.54,14.52,-2.0294318
-3.06,8.12,-0.8036005
-3.76,5.28,-0.6537767
-0.69,0.5,-1.1849703
-0.69,0.5,-1.1849703
9.89,5.01,-3.8681788
9.89,5.01,-3.8681788
0.99,18.2,-6.973618
-5.43,15.98,10.841797
8.01,13.57,-5.6252036
0.04,19.57,-3.336985
-6.63,14.33,-4.399372
-6.63,14.33,-4.399372
-2.49,10.84,3.568531
-2.49,10.84,3.568531
-3.76,1.76,-2.7921712
-3.34,1.14,-0.42223078
-2.96,6.93,5.134871
-2.96,6.93,5.134871
1.84,16.4,3.336985
-0.99,4.14,-2.6014864
-3.21,18.85,-4.372132
-0.42,19.0,-1.3756552
-5.43,10.0,-9.765789
-2.68,9.28,1.1849703
0.19,5.43,0.5720546
-1.18,8.12,-1.334794
-1.18,8.12,-1.334794
-0.91,12.64,-1.6480621
-0.69,10.23,-4.1814466
-0.61,10.65,-1.6889231
-0.57,10.27,-1.4982382
2.91,11.99,-0.6946377
1.92,13.25,-0.50395286
-2.07,13.06,-3.568531
-3.83,10.8,-7.8589406
-1.69,11.11,-2.8330324
-1.73,9.92,-5.434519
-1.99,8.77,-4.630918
-3.91,9.34,-3.0645783
-2.91,8.39,-3.0237172
-1.88,9.77,2.1792557
-0.04,10.31,0.23154591
-0.11,8.62,-2.6014864
